"Downloaded on",03/04/2025,"18:24:24 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%2296%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3211",https://www.congress.gov/bill/96th-congress/senate-bill/3211,"96th Congress (1979-1980)","A bill to amend titles XVIII and XIX of the Social Security Act to expand the coverage of home health services in general, to extend the coverage of home health care provided by proprietary providers and the coverage of community home health services provided by hospitals, and for other purposes.","Hatch, Orrin G. [Sen.-R-UT] (Introduced 11/18/1980)",Republican,11/18/1980,"Senate - Finance","Referred to Senate Committee on Finance.",11/18/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Health,Medicaid,Medicare,"Occupational therapy","Social Welfare","Home care services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Community Home Health Services Act of 1980 - Amends title XVIII (Medicare) of the Social Security Act to remove the 100 visit limitation presently applicable to home health care services under such title. <p>Eliminates prior hospitalization as a condition of eligibility for home health care services under part A (Hospital Insurance Benefits for the Aged and Disabled) of such title. <p>Eliminates the $60 deductible for home health services. <p>Includes occupational therapy as a home health service. <p>Requires a home health aide to complete an approved training program successfully. <p>Expands the definition of home health service to include any professional health service or item provided in an individual's home by a hospital or by hospital staff as an alternative to institutional care, if such services are not otherwise qualified for Medicare payment, excluding any item not included as an inpatient hospital service. <p>Revises the definition of a home health agency to: (1) require an agency to meet such requirements as the Secretary of Health and Human Services finds necessary for the effective and efficient operation of Medicare; and (2) remove the restriction barring a profitmaking agency unless licensed pursuant to State law. <p>Amends title XIX (Medicaid) of the Act to provide coverage for home health services.",,,,,,
"S. 3209",https://www.congress.gov/bill/96th-congress/senate-bill/3209,"96th Congress (1979-1980)","A bill to provide financial assistance to the States to undertake comprehensive criminal justice construction programs to improve the criminal justice system of the States, and for other purposes.","Dole, Robert J. [Sen.-R-KS] (Introduced 11/18/1980)",Republican,11/18/1980,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",11/18/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Administration of criminal justice","Correctional institutions","Corrections and Correctional Institutions","Courts and Civil Procedure","Crime and Law Enforcement","Department of Justice","Economics and Public Finance","Executive reorganization","Federal aid to law enforcement agencies","Intergovernmental relations","State courts","State finance",States,"Tax-exempt securities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Criminal Justice Construction Reform Act - <b>Title I:  Findings and Definitions</b> - Sets forth definitions and findings.  Defines ""criminal justice facilities"" to include court, law enforcement, juvenile, correctional, and other facilities used for any criminal justice purpose. <p><b>Title II:  Grants for the Construction and Modernization of Criminal Justice Facilities</b> - Authorizes the Administrator of the Criminal Justice Facilities Administration (established under title III) to make grants to States for the construction and modernization of criminal justice facilities during fiscal years 1983 through 1988. <p>Allots a portion of sums appropriated among States on the basis of population and the volume and expenditure of criminal justice activities. <p>Sets aside another portion of such sums appropriated for demonstration grants to test the applicability of advanced practices to the design, construction, and modernization of facilities. <p>Requires any State desiring to receive such funding to submit a State plan for a seven-year period, which contains specified provisions and assurances, including a comprehensive statewide program. <p>Directs the Administrator to operate an information clearinghouse on the construction and modernization of criminal justice facilities. <p>Authorizes the Secretary of the Treasury to pay State and local governments an interest subsidy for criminal facility construction bonds which reduce the cost of such bonds to not more than five percent interest. <p><b>Title III:  Administration Provisions</b> - Establishes the Criminal Justice Facilities Administration within the Department of Justice, headed by an Administrator appointed by the President. <p>Charges the Administrator with carrying out this Act and submitting to the President for transmittal to Congress a report at least once per year. <p>Sets at 75 percent the Federal share of the cost of a State plan approved under this Act. <p>Authorizes appropriations in the amounts of $500,000,000 for fiscal year 1982 and $1,000,000,000 for each of fiscal years 1983 through 1988.",,,,,,
"S. 3208",https://www.congress.gov/bill/96th-congress/senate-bill/3208,"96th Congress (1979-1980)","A bill to provide a method of making U.S. food production expertise available to developing countries through establishment of food and population centers and associated programs operated by U.S. land-grant institutions.","Bellmon, Henry L. [Sen.-R-OK] (Introduced 11/18/1980)",Republican,11/18/1980,"Senate - Agriculture, Nutrition, and Forestry","Referred to Senate Committee on Agriculture, Nutrition and Forestry.",11/18/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Agricultural research","Agriculture and Rural Affairs","American agricultural assistance","American civilian assistance",Education,"Food and Food Industry","Food relief","Higher education","International Affairs","Population policy","Agricultural colleges","Agricultural education",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Food and Population Centers Act - Requires the Secretary of Agriculture (Secretary), in cooperation with the Secretary of State, to contract with land-grant institutions for evaluations of food needs and agricultural development in countries requesting such evaluations.  States the goals of such evaluations. <p>Directs the Secretary to make grants to land-grant institutions to cover costs of the evaluation and development of plans to establish agriculture and food centers in any country and proportionate costs of associated food and population programs.  Sets forth the functions of such centers.  States the requirements of such plans, including analyses of resource needs.  Prescribes the procedure for applying for such planning grants.  Authorizes the Secretary to make grants to land-grant institutions to establish and operate food and population centers.  Requires host countries of such centers to agree to match the U.S. contribution, in either resources or services, for any necessary costs.  Sets a minimum level of ten percent for contribution by the host country. Empowers the Secretary to close any center upon a determination that the agreement has been seriously breached or when conditions no longer require a center.  Requires the Secretary, where an agreement has been entered into, to make grants to the land-grant institution involved. <p>Requires the Secretary to report annually to the Congress regarding the centers established under this Act.  Terminates funding ten years after the date of enactment unless further authorized.",,,,,,
"S. 3207",https://www.congress.gov/bill/96th-congress/senate-bill/3207,"96th Congress (1979-1980)","A bill to restrict the release of results from presidential elections until all polls are closed.","Hayakawa, Samuel Ichiye [Sen.-R-CA] (Introduced 11/18/1980)",Republican,11/18/1980,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",11/18/1980,"DeConcini, Dennis [Sen.-D-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Crime prevention","Fines (Penalties)","Government Operations and Politics","Presidential elections","Presidents and Vice Presidents",Voting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Federal criminal code to prohibit the release of ballot counts in Presidential elections until all polling places are closed. Subjects a violator to a fine or imprisonment.",,,,,,
"S. 3206",https://www.congress.gov/bill/96th-congress/senate-bill/3206,"96th Congress (1979-1980)","A bill to establish temporary provisions governing the day and times for the elections of Senators, Members of the House of Representatives, and electors of the President and Vice President.","Hayakawa, Samuel Ichiye [Sen.-R-CA] (Introduced 11/18/1980)",Republican,11/18/1980,"Senate - Rules and Administration","Referred to Senate Committee on Rules and Administration.",11/18/1980,"DeConcini, Dennis [Sen.-D-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Congressional elections","Election Day","Electoral college","Government Operations and Politics","Presidential elections","Presidents and Vice Presidents","Vice Presidential elections",Voting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7928,,,,Senate,,"08/18/1980 Referred to House Committee on House Administration.",,,,"<p>Establishes the Sunday after the first Monday in November in 1982, 1984, 1986, and 1988 as the day for election of Representatives and Delegates to the Congress. <p>Requires electors of the President and Vice President for 1984 and 1988 to be appointed on the Sunday after the first Monday in November.  Specifies the hours during which polling places shall be opened for such presidential elections. <p>Requires the Federal Election Commission to report to Congress and the President on the amendments made by this Act.",,,,,,
"S. 3205",https://www.congress.gov/bill/96th-congress/senate-bill/3205,"96th Congress (1979-1980)","A bill to establish provisions governing the day and times for the election of electors of the President and Vice President.","Hayakawa, Samuel Ichiye [Sen.-R-CA] (Introduced 11/18/1980)",Republican,11/18/1980,"Senate - Rules and Administration","Referred to Senate Committee on Rules and Administration.",11/18/1980,"DeConcini, Dennis [Sen.-D-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Government Operations and Politics","Presidential elections","Presidents and Vice Presidents","Vice Presidents",Voting,"Vice Presidential elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends Federal law to provide for a 12-hour voting period and a uniform closing of polling places (nine post meridien eastern standard time) in Presidential and Vice- Presidential electionss.  Permits certain States (Alaska and Hawaii) to open their polls for several hours during the day preceding election day. Prohibits the release of ballot counts in such elections until all polling places are closed.",,,,,,
"S. 3204",https://www.congress.gov/bill/96th-congress/senate-bill/3204,"96th Congress (1979-1980)","A bill to establish provisions governing the day and times for the election of electors of the President and the Vice President.","Hayakawa, Samuel Ichiye [Sen.-R-CA] (Introduced 11/18/1980)",Republican,11/18/1980,"Senate - Rules and Administration","Referred to Senate Committee on Rules and Administration.",11/18/1980,"DeConcini, Dennis [Sen.-D-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Government Operations and Politics","Presidential elections","Presidents and Vice Presidents","Vice Presidential elections","Vice Presidents",Voting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends Federal law to provide for a 12-hour voting period and a uniform closing of polling places (nine post meridiem eastern standard time) in Presidential and Vice- Presidential elections.  Permits certain States (Alaska and Hawaii) to open their polls for several hours during the day preceding election day. Prohibits the release of ballot counts in such elections until all polling places are closed.",,,,,,
"S. 3203",https://www.congress.gov/bill/96th-congress/senate-bill/3203,"96th Congress (1979-1980)","A bill to amend the Internal Revenue Code of 1954 with respect to the deduction of certain expenses in connection with the business use of homes and the rental of residences to family members, and for other purposes.","Armstrong, William L. [Sen.-R-CO] (Introduced 11/17/1980)",Republican,11/17/1980,"Senate - Finance","Referred to Senate Committee on Finance.",11/17/1980,"Boren, David L. [Sen.-D-OK]","Dole, Robert J. [Sen.-R-KS]","Exon, J. James [Sen.-D-NE]","Goldwater, Barry [Sen.-R-AZ]","Mathias, Charles McC., Jr. [Sen.-R-MD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Business and commerce","Business income tax","Domestic Relations and Families",Families,"Family enterprises","Family policy",Households,"Housing and Housing Finance","Income tax",Rent,"Tax deductions",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.8316,,,,Senate,,"11/12/1980 Referred to House Committee on Ways and Means.",,,,"<p>Amends the Internal Revenue Code to extend the business expense deduction to any trade or business conducted in the home of the taxpayer. Eliminates the restrictions on the deductibility of expenses relating to the rental of a residence to a family member. <p>Permits a taxpayer to make repairs on rental properties on a full-time basis without being treated as using such properties for personal purposes.",,,,,,
"S. 3201",https://www.congress.gov/bill/96th-congress/senate-bill/3201,"96th Congress (1979-1980)","A bill to amend section 504 of the Trade Act of 1974 to establish certain limitations with respect to the Generalized System of Preferences.","Heinz, John [Sen.-R-PA] (Introduced 11/14/1980)",Republican,11/14/1980,"Senate - Finance","Referred to Senate Committee on Finance.",11/14/1980,"Moynihan, Daniel Patrick [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Developing countries",Dumping,"Foreign Trade and Investments","Foreign Trade and International Finance",Imports,"Nontariff trade barriers","Tariff preferences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Trade Act of 1974 to exclude from treatment as a beneficiary developing country (for purposes of tariff preferences with respect to articles within specified Major Groups) any country that has exported to the United States during a calendar year a quantity of such articles having an appraised value in excess of a specified proportional amount. <p>Makes ineligible for tariff preferences any merchandise subject to countervailing or antidumping duties.",,,,,,
"S. 3200",https://www.congress.gov/bill/96th-congress/senate-bill/3200,"96th Congress (1979-1980)","A bill to amend the Clean Air Act to repeal the requirement that the State implementation plans provide for the periodic inspection and testing of motor vehicles.","Hayakawa, Samuel Ichiye [Sen.-R-CA] (Introduced 11/14/1980)",Republican,11/14/1980,"Senate - Environment and Public Works","Referred to Senate Committee on Environment and Public Works.",11/14/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Air pollution control","Environmental Protection","Federal-state relations","Intergovernmental relations","Motor Vehicles and Driving","Motor vehicle pollution control",States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6466,,,,Senate,,"02/07/1980 Referred to House Committee on Interstate and Foreign Commerce.",,,,"<p>Amends the Clean Air Act to repeal the requirement that State implementation plans for meeting the national primary ambient air quality standard provide for periodic inspection and testing of motor vehicles.",,,,,,
"S. 3199",https://www.congress.gov/bill/96th-congress/senate-bill/3199,"96th Congress (1979-1980)","A bill to direct the Army Board for Correction of Military Records to review the application of Herman Miller for the Congressional Medal of Honor.","Hayakawa, Samuel Ichiye [Sen.-R-CA] (Introduced 11/14/1980)",Republican,11/14/1980,"Senate - Armed Services","Referred to Senate Committee on Armed Services.",11/14/1980,"Bayh, Birch [Sen.-D-IN]","Cranston, Alan [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Armed Forces and National Security",Commemorations,"Congressional Medal of Honor","Military medals, decorations, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Directs the Army Board for Correction of Military Records to review the application of Herman Miller for consideration of being awarded the Congressional Medal of Honor. Requires the Board to apply the standards for such award as were in effect on April 16, 1900.",,,,,,
"S. 3197",https://www.congress.gov/bill/96th-congress/senate-bill/3197,"96th Congress (1979-1980)","A bill to provide general assistance to local educational agencies for the provision of educational services to undocumented alien children, and for other purposes.","Tower, John G. [Sen.-R-TX] (Introduced 11/13/1980)",Republican,11/13/1980,"Senate - Labor and Human Resources","Referred to Senate Committee on Labor and Human Resources.",11/13/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Administrative procedure","American Samoa","Bilingual education",Education,"Elementary and secondary education",Families,"Federal aid to education","Federal-local relations",Guam,"Illegal aliens",Immigration,"Intergovernmental relations","Local and Municipal Government","Territories (U.S.)","Trust Territory of the Pacific Islands","Virgin Islands","Elementary school students","Local finance","Northern Mariana Islands","Secondary school students",States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Alien Education Assistance Act of 1980 - <b>Title I: General Provisions</b> - Defines the terms used in this Act, including the term ""alien children"" which is defined to mean undocumented aliens who receive educational services from State or local educational agencies. <p>Authorizes appropriations in necessary amounts up to $200,000,000 per fiscal year for fiscal years 1981 through 1983 for State educational programs and administrative costs under this Act.  Provides that such entitlements shall be ratably reduced if sufficient funds are available.  Authorizes up to one percent of such funds for Guam, American Samoa, the Virgin Islands, and the Trust Territory of the Pacific Islands. Authorizes the Secretary of Education to withhold funds from State educational agencies that fail to meet the requirements of this Act.  Sets forth the procedures to be followed in such a situation. <p>Permits the use of classroom facilities obtained by a local educational agency with assistance under title I of the Elementary and Secondary Education Act of 1965 in any fiscal year for educational services for alien children if the number of alien children enrolled in the elementary or secondary public schools under the jurisdiction of such agency, during that fiscal year, is equal to at least 200 or at least two percent of the total number of students enrolled in the public elementary or secondary schools during such fiscal year, whichever is less. <p>Exempts each local educational agency within a State in which there is a State law which requires a bilingual education program from specified proposed rules (or final rules based on them) which prohibit recipients of Federal financial assistance from denying equality of access to any student because of that student's limited proficiency in English. <p><b>Title II:  General Assistance for Local Educational Agencies</b> - Directs the Secretary to make payments to State educational agencies for fiscal years 1981 through 1983 for assistance to local educational agencies in providing basic education for alien children. <p>Sets the amount of the grant to which a State educational agency is entitled, per alien child enrolled in schools under the jurisdiction of each local agency within such State, at $1,500, or the average per pupil expenditure in such State, whichever is less. <p>Sets forth grant application requirements and procedures.",,,,,,
