"Downloaded on",03/04/2025,"18:32:14 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22103%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 824",https://www.congress.gov/bill/103rd-congress/senate-bill/824,"103rd Congress (1993-1994)","A bill to amend the Food, Agriculture, Conservation, and Trade Act of 1990 to provide that a single Federal agency shall be responsible for making technical determinations with respect to wetland or converted wetland on agricultural lands, and for other purposes.","Bond, Christopher S. [Sen.-R-MO] (Introduced 04/27/1993)",Republican,04/27/1993,"Senate - Agriculture, Nutrition, and Forestry","Referred to Subcommittee on Agricultural Research.",07/01/1993,"Dole, Robert J. [Sen.-R-KS]","Helms, Jesse [Sen.-R-NC]","Packwood, Bob [Sen.-R-OR]","Thurmond, Strom [Sen.-R-SC]","Lugar, Richard G. [Sen.-R-IN]","Danforth, John C. [Sen.-R-MO]","Hatch, Orrin G. [Sen.-R-UT]","Boren, David L. [Sen.-D-OK]","Heflin, Howell [Sen.-D-AL]","Cochran, Thad [Sen.-R-MS]","Kassebaum, Nancy Landon [Sen.-R-KS]","Pressler, Larry [Sen.-R-SD]","Grassley, Chuck [Sen.-R-IA]","Nickles, Don [Sen.-R-OK]","McConnell, Mitch [Sen.-R-KY]","Shelby, Richard C. [Sen.-D-AL]","Daschle, Thomas A. [Sen.-D-SD]","Conrad, Kent [Sen.-D-ND]","Coats, Daniel [Sen.-R-IN]","Craig, Larry E. [Sen.-R-ID]","Dorgan, Byron L. [Sen.-D-ND]","Coverdell, Paul [Sen.-R-GA]","Kempthorne, Dirk [Sen.-R-ID]","Simpson, Alan K. [Sen.-R-WY]","Gorton, Slade [Sen.-R-WA]","Burns, Conrad R. [Sen.-R-MT]","Faircloth, Lauch [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,"Agriculture and Food","Department of Agriculture","Environmental Protection","Executive reorganization","Farm lands","Water pollution control","Wetland conservation",Wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Wetlands Simplification Act - Amends the Food Security Act of 1985 (FSA) to provide that:  (1) a technical determination with respect to wetland or converted wetland on agricultural lands (including the identification of wetland and the development of a wetland restoration or mitigation plan) shall be used in the administration of the Federal Water Pollution Control Act (FWPCA) (thus giving the Soil Conservation Service sole Federal responsibility for making such determination); and (2) any area of agricultural land or any activities related to the land determined to be exempt from the requirements of FSA shall also be exempt from FWPCA requirements as long as such lands are used for agriculture.",,,,,,
"S. 820",https://www.congress.gov/bill/103rd-congress/senate-bill/820,"103rd Congress (1993-1994)","A bill to extend the existing suspension of duty on machines designed for heat-set, stretch texturing of continuous manmade fibers.","Helms, Jesse [Sen.-R-NC] (Introduced 04/22/1993)",Republican,04/22/1993,"Senate - Finance","Read twice and referred to the Committee on Finance.",04/22/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Machinery,"Synthetic fibers",Tariff,"Textile industry and fabrics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Amends the Harmonized Tariff Schedule of the United States to extend, through December 31, 1995, the existing suspension of duty on machines designed for heat-set, stretch texturing of continuous man-made fiber.",,,,,,
"S. 819",https://www.congress.gov/bill/103rd-congress/senate-bill/819,"103rd Congress (1993-1994)","A bill to extend the temporary suspension of duty on Trifluoromethylaniline.","Helms, Jesse [Sen.-R-NC] (Introduced 04/22/1993)",Republican,04/22/1993,"Senate - Finance","Read twice and referred to the Committee on Finance.",04/22/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Chemicals,"Foreign Trade and International Finance",Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Amends the Harmonized Tariff Schedule of the United States to extend, through December 31, 1996, the suspension of duty on trifluoromethylaniline.",,,,,,
"S. 818",https://www.congress.gov/bill/103rd-congress/senate-bill/818,"103rd Congress (1993-1994)","A bill to amend the Solid Waste Disposal Act to require a refund value for certain beverage containers, and to provide resources for State pollution prevention and recycling programs, and for other purposes.","Hatfield, Mark O. [Sen.-R-OR] (Introduced 04/22/1993)",Republican,04/22/1993,"Senate - Commerce, Science, and Transportation","Sponsor introductory remarks on measure. (CR S5312-5313)",05/04/1993,"Kennedy, Edward M. [Sen.-D-MA]","Leahy, Patrick J. [Sen.-D-VT]","Packwood, Bob [Sen.-R-OR]","Riegle, Donald W., Jr. [Sen.-D-MI]","Metzenbaum, Howard M. [Sen.-D-OH]","Levin, Carl [Sen.-D-MI]","Mitchell, George J. [Sen.-D-ME]","Harkin, Tom [Sen.-D-IA]","Kerry, John F. [Sen.-D-MA]","Jeffords, James M. [Sen.-R-VT]","Lieberman, Joseph I. [Sen.-D-CT]","Boxer, Barbara [Sen.-D-CA]","Moynihan, Daniel Patrick [Sen.-D-NY]","Feinstein, Dianne [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,"Administrative procedure","Beverage containers","Environmental Protection","Fines (Penalties)",Labeling,Landfills,"Local taxation","Pollution control","Recycling of waste products","Refuse and refuse disposal","Sales tax","State taxation",Taxation,"Waste disposal sites",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>National Beverage Container Reuse and Recycling Act of 1993 - Amends the Solid Waste Disposal Act to prohibit the sale of  beer, mineral water, soda water, wine coolers, or carbonated soft drinks in beverage containers by retailers and distributors unless such containers carry a refund value of ten cents.  Requires distributors to collect from retailers the refund value for each beverage sold to retailers and retailers to collect from consumers the refund value for each beverage sold to consumers.  Requires retailers and distributors to pay the refund on returned containers of brands (in the same kind and size of container) sold. <p>Directs distributors to pay annually to a State unclaimed refund amounts (the amount by which the total refund value of all containers sold by distributors exceeds the amount paid by distributors to persons in that State).  Makes unclaimed refunds available to a State for carrying out pollution prevention and recycling programs. <p>Prohibits distributors and retailers from:  (1) selling beverages in metal beverage containers with detachable openings; and (2) disposing of containers subject to this Act or any metal, glass, or plastic from such containers (other than the top or seal) in landfills or solid waste disposal facilities. <p>Makes this Act inapplicable to States that have adopted requirements similar to those under this Act or that have demonstrated achievement of a recycling or reuse rate for beverage containers of at least 70 percent. <p>Prohibits States or political subdivisions that impose taxes on the sale of beverage containers from imposing any tax on the amount attributable to the refund value of such containers. <p>Provides for the adjustment for inflation of the ten-cent refund amount at ten-year intervals. <p>Prescribes civil penalties for violations of this Act.",,,,,,
"S. 814",https://www.congress.gov/bill/103rd-congress/senate-bill/814,"103rd Congress (1993-1994)","A bill to suspend temporarily the duty on capillary membrane material.","Durenberger, Dave [Sen.-R-MN] (Introduced 04/22/1993)",Republican,04/22/1993,"Senate - Finance","Read twice and referred to the Committee on Finance.",04/22/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance","Synthetic fabrics",Tariff,"Textile industry and fabrics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Amends the Harmonized Tariff Schedule of the United States to suspend, through December 31, 1995, the duty on capillary membrane material.",,,,,,
"S. 813",https://www.congress.gov/bill/103rd-congress/senate-bill/813,"103rd Congress (1993-1994)","A bill to suspend temporarily the duty on Bisphenol AF.","Durenberger, Dave [Sen.-R-MN] (Introduced 04/22/1993)",Republican,04/22/1993,"Senate - Finance","Read twice and referred to the Committee on Finance.",04/22/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Chemicals,"Foreign Trade and International Finance",Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.2485,,,CRS,,,"02/23/1994 Executive Comment Received from ITC.",,,"<p>Amends the Harmonized Tariff Schedule of the United States to suspend, through December 31, 1995, the duty on 4,4 (trifluoro-1 (trifluoromethyl) ethylidene) diphenol or 2,2-bis(4-hydroxyphenyl) hexafluoropropane (bisphenol AF).",,,,,,
"S. 805",https://www.congress.gov/bill/103rd-congress/senate-bill/805,"103rd Congress (1993-1994)","A bill to extend the temporary suspension of duty on 1-{1-((4-Chloro-2-(trifluoromethyl)-penyl)imino)-2-propoxymethyl}-1-H-imidazole, and for other purposes.","Helms, Jesse [Sen.-R-NC] (Introduced 04/21/1993)",Republican,04/21/1993,"Senate - Finance","Read twice and referred to the Committee on Finance.",04/21/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Chemicals,"Foreign Trade and International Finance",Fungicides,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.2087,,,CRS,,,"08/27/1993 Executive Comment Received from ITC.",,,"<p>Amends the Harmonized Tariff Schedule of the United States to suspend, through December 31, 1998, the duty on 1(1-((4-chloro-2-(trifluoromethyl)phenyl)imino)-2- propoxyethyl)-1-H-imidazole.",,,,,,
"S. 804",https://www.congress.gov/bill/103rd-congress/senate-bill/804,"103rd Congress (1993-1994)","A bill to extend the temporary suspension of duty on 2,6-Dichlorobenzonitrile.","Helms, Jesse [Sen.-R-NC] (Introduced 04/21/1993)",Republican,04/21/1993,"Senate - Finance","Read twice and referred to the Committee on Finance.",04/21/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Chemicals,"Foreign Trade and International Finance",Herbicides,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.2086,,,CRS,,,"08/27/1993 Executive Comment Received from ITC.",,,"<p>Amends the Harmonized Tariff Schedule of the United States to extend, through December 31, 1998, the suspension of duty on 2,6-Dichlorobenzonitrile.",,,,,,
"S. 803",https://www.congress.gov/bill/103rd-congress/senate-bill/803,"103rd Congress (1993-1994)","A bill to temporarily suspend the duty on N-{{(4-chlorophenyl)amino}carbonyl}-2-diflurobenzamide, and for other purposes.","Helms, Jesse [Sen.-R-NC] (Introduced 04/21/1993)",Republican,04/21/1993,"Senate - Finance","Read twice and referred to the Committee on Finance.",04/21/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Chemicals,"Foreign Trade and International Finance","Insect control",Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.2085,,,CRS,,,"09/22/1993 Executive Comment Received from ITC.",,,"<p>Amends the Harmonized Tariff Schedule of the United States to suspend, through December 31, 1998, the duty on:  (1) N-(((4-chlorophenyl)- amino) carbonyl)-2-difluorobenzamide (diflubenzuron); and (2) mixtures of N-(((4-chlorophenyl) amino)-carbonyl)-2-difluorobenzamide (diflubenzuron) and inert substances.",,,,,,
"S. 797",https://www.congress.gov/bill/103rd-congress/senate-bill/797,"103rd Congress (1993-1994)","A bill to amend title 5, United States Code, to establish an optional early retirement program for Federal Government employees, and for other purposes.","Roth Jr., William V. [Sen.-R-DE] (Introduced 04/20/1993)",Republican,04/20/1993,"Senate - Governmental Affairs","Sponsor introductory remarks on measure. (CR S2022-2023)",02/28/1994,"Warner, John [Sen.-R-VA]","Cochran, Thad [Sen.-R-MS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Annuities,"Budget deficits","Civil Service pensions","Civil service retirement","Congressional reporting requirements","Early retirement","Federal budgets","Federal employees","Foreign service","Government Operations and Politics","Government spending reductions","Intelligence officers","Recruiting of employees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Federal Employees' Optional Early Retirement Act - Authorizes early retirement for certain Federal employees after:  (1) completing 25 years of service; (2) becoming 50 years of age and completing 20 years of service; (3) becoming 55 years of age and completing 15 years of service; or (4) becoming 57 years of age and completing five years of service.  Specifies those employees who are not eligible for such retirement.  Subjects such retirement annuities to the applicable reduction for employees who retire under age 55. <p>Directs the President to extend the early retirement provisions of this Act to:  (1) participants in the Central Intelligence Agency Retirement and Disability System; (2) participants in the Foreign Service Retirement and Disability System; and (3) if determined appropriate, employees of the executive branch who are participants in any other Federal retirement system. <p>Authorizes the President to exempt employees from early retirement provisions in cases of essential occupational categories, projects, or locations. <p>Authorizes the head of an executive agency to hold over essential employees who are entitled to early retirement for a period not to exceed six months. <p>Establishes a five-year hiring limitation period for the replacement of retirees.  Authorizes the President to waive the application of such limitation for essential positions and positions financed by user fees.  Makes such limitation inapplicable to certain reinstatements, and transfers, and during periods of war or national emergency. <p>Directs the President to ensure that there is no increase in contract procurement of personal services by reason of enactment of this Act. <p>Requires that the savings in any fiscal year resulting from this Act be credited to personnel costs required to be sequestered under the Balanced Budget and Emergency Deficit Control Act of 1985 (Gramm-Rudman-Hollings Act). <p>Requires the Director of the Office of Personnel Management to evaluate for the Congress the optional early retirement program and the limitation on the replacement of retirees. <p>Requires specified congressional committees to report to their respective Houses revised allocations and budget aggregates resulting from this Act.",,,,,,
"S. 793",https://www.congress.gov/bill/103rd-congress/senate-bill/793,"103rd Congress (1993-1994)","A bill to amend the Federal Food, Drug, and Cosmetic Act to require that standards of identity for milk include certain minimum standards regarding milk solids, and for other purposes.","Durenberger, Dave [Sen.-R-MN] (Introduced 04/19/1993)",Republican,04/19/1993,"Senate - Labor and Human Resources","Read twice and referred to the Committee on Labor and Human Resources.",04/19/1993,"Jeffords, James M. [Sen.-R-VT]","Kohl, Herb [Sen.-D-WI]","Feingold, Russell D. [Sen.-D-WI]","Wofford, Harris [Sen.-D-PA]","Gorton, Slade [Sen.-R-WA]","Leahy, Patrick J. [Sen.-D-VT]","Bingaman, Jeff [Sen.-D-NM]","Thurmond, Strom [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Administrative procedure","Agriculture and Food","Department of Agriculture",Milk,Standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Healthier Milk Act - Amends the Federal Food, Drug, and Cosmetic Act to mandate standards of identity for milk in final package form for beverage use.",,,,,,
"S. 792",https://www.congress.gov/bill/103rd-congress/senate-bill/792,"103rd Congress (1993-1994)","A bill to amend title 38, United States Code, to change the date for the beginning of the Vietnam era for the purpose of veterans benefits from August 5, 1964, to December 22, 1961.","D'Amato, Alfonse [Sen.-R-NY] (Introduced 04/19/1993)",Republican,04/19/1993,"Senate - Veterans' Affairs","Committee on Veterans. Provisions of measure incorporated into measure S. 1626 ordered to be reported.",04/14/1994,"Moynihan, Daniel Patrick [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Armed Forces and National Security","Veterans' benefits","Vietnam veterans","Vietnamese Conflict",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.394,S.1626,,CRS,Senate,,"01/25/1993 Referred to the Subcommittee on Compensation, Pension and Insurance.","06/08/1994 Indefinitely postponed by Senate by Unanimous Consent.",,"<p>Revises the date for the beginning of the Vietnam era, for purposes of eligibility for veterans' benefits, from August 5, 1964, to December 22, 1961.",,,,,,
"S. 789",https://www.congress.gov/bill/103rd-congress/senate-bill/789,"103rd Congress (1993-1994)","A bill to amend title 38, United States Code, to provide that future increases in the monthly amount paid by the State of New York to blind disabled veterans should be excluded from the determination of annual income for purposes of payment of pension by the Secretary of Veterans' Affairs.","D'Amato, Alfonse [Sen.-R-NY] (Introduced 04/19/1993)",Republican,04/19/1993,"Senate - Veterans' Affairs","Committee on Veterans. Hearings held.",03/24/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Annuities,"Armed Forces and National Security",Blind,Income,"New York State","Veterans' disability compensation","Veterans' pensions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,H.R.2377,H.R.2389,H.R.2691,CRS,,,"06/21/1993 Referred to the Subcommittee on Compensation, Pension and Insurance.","08/06/1993 Referred to the Subcommittee on Compensation, Pension and Insurance.",,"<p>Excludes from the determination of income, for purposes of the payment of pension by the Secretary of Veterans Affairs, any future increases made by the State of New York in the monthly amount paid to blind and totally disabled veterans.",,,,,,
