"Downloaded on",03/05/2025,"14:06:13 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A%5B%22118%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%22Republican%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 5572",https://www.congress.gov/bill/118th-congress/senate-bill/5572,"118th Congress (2023-2024)","Decoupling from Foreign Adversarial Battery Dependence Act","Scott, Rick [Sen.-R-FL] (Introduced 12/17/2024)",Republican,12/17/2024,"Senate - Homeland Security and Governmental Affairs","Read twice and referred to the Committee on Homeland Security and Governmental Affairs.",12/17/2024,"Hassan, Margaret Wood [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5571",https://www.congress.gov/bill/118th-congress/senate-bill/5571,"118th Congress (2023-2024)","Chinese Military and Surveillance Company Sanctions Act of 2024","Scott, Rick [Sen.-R-FL] (Introduced 12/17/2024)",Republican,12/17/2024,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",12/17/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5568",https://www.congress.gov/bill/118th-congress/senate-bill/5568,"118th Congress (2023-2024)","EMPSA Act","Moran, Jerry [Sen.-R-KS] (Introduced 12/17/2024)",Republican,12/17/2024,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/17/2024,"Van Hollen, Chris [Sen.-D-MD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Disability assistance","Disability and paralysis","Marriage and family status","Poverty and welfare assistance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5564",https://www.congress.gov/bill/118th-congress/senate-bill/5564,"118th Congress (2023-2024)","SEWAGE GARLIC Imports Tariff Act of 2024","Scott, Rick [Sen.-R-FL] (Introduced 12/17/2024)",Republican,12/17/2024,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/17/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5557",https://www.congress.gov/bill/118th-congress/senate-bill/5557,"118th Congress (2023-2024)","A bill to require identification in medical records of the Department of Defense of the affiliation of certain non-Department of Defense health care providers, and for other purposes.","Cornyn, John [Sen.-R-TX] (Introduced 12/17/2024)",Republican,12/17/2024,"Senate - Armed Services","Read twice and referred to the Committee on Armed Services.",12/17/2024,"Cruz, Ted [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5556",https://www.congress.gov/bill/118th-congress/senate-bill/5556,"118th Congress (2023-2024)","A bill to require a solid rocket motor industrial base strategy.","Cornyn, John [Sen.-R-TX] (Introduced 12/17/2024)",Republican,12/17/2024,"Senate - Armed Services","Read twice and referred to the Committee on Armed Services.",12/17/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5555",https://www.congress.gov/bill/118th-congress/senate-bill/5555,"118th Congress (2023-2024)","A bill to provide authority to use Defense Modernization Account funds for time-sensitive equipment modernization.","Cornyn, John [Sen.-R-TX] (Introduced 12/17/2024)",Republican,12/17/2024,"Senate - Armed Services","Read twice and referred to the Committee on Armed Services.",12/17/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5554",https://www.congress.gov/bill/118th-congress/senate-bill/5554,"118th Congress (2023-2024)","A bill to authorize the conveyance by the Secretary of the Army of certain property located in Paris, Texas, and for other purposes.","Cornyn, John [Sen.-R-TX] (Introduced 12/17/2024)",Republican,12/17/2024,"Senate - Armed Services","Read twice and referred to the Committee on Armed Services.",12/17/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5553",https://www.congress.gov/bill/118th-congress/senate-bill/5553,"118th Congress (2023-2024)","A bill to provide for the use of capability-based analysis of price of goods or services offered by nontraditional defense contractors.","Cornyn, John [Sen.-R-TX] (Introduced 12/17/2024)",Republican,12/17/2024,"Senate - Armed Services","Read twice and referred to the Committee on Armed Services.",12/17/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5551",https://www.congress.gov/bill/118th-congress/senate-bill/5551,"118th Congress (2023-2024)","Fraudulent Covid Funds Recovery Act","Lankford, James [Sen.-R-OK] (Introduced 12/17/2024)",Republican,12/17/2024,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",12/17/2024,"Ernst, Joni [Sen.-R-IA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5550",https://www.congress.gov/bill/118th-congress/senate-bill/5550,"118th Congress (2023-2024)","Maintaining Academy Culture and Assuring Retention of Tradition, Honor, and Unity of the Republic Act (MACARTHUR) Act","Cruz, Ted [Sen.-R-TX] (Introduced 12/17/2024)",Republican,12/17/2024,"Senate - Armed Services","Read twice and referred to the Committee on Armed Services.",12/17/2024,"Scott, Rick [Sen.-R-FL]","Britt, Katie Boyd [Sen.-R-AL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5549",https://www.congress.gov/bill/118th-congress/senate-bill/5549,"118th Congress (2023-2024)","GRACIE Act of 2024","Blackburn, Marsha [Sen.-R-TN] (Introduced 12/17/2024)",Republican,12/17/2024,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",12/17/2024,"Ossoff, Jon [Sen.-D-GA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Crime and Law Enforcement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5548",https://www.congress.gov/bill/118th-congress/senate-bill/5548,"118th Congress (2023-2024)","Eliminate Fraudulent Unemployment Insurance Benefits Act","Lankford, James [Sen.-R-OK] (Introduced 12/17/2024)",Republican,12/17/2024,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/17/2024,"Blackburn, Marsha [Sen.-R-TN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5547",https://www.congress.gov/bill/118th-congress/senate-bill/5547,"118th Congress (2023-2024)","LIVE Beneficiaries Act","Scott, Rick [Sen.-R-FL] (Introduced 12/17/2024)",Republican,12/17/2024,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/17/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.8084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"09/18/2024 Received in the Senate and Read twice and referred to the Committee on Finance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5545",https://www.congress.gov/bill/118th-congress/senate-bill/5545,"118th Congress (2023-2024)","A bill to amend title 38, United States Code, to make certain improvements to laws relating to the payment of certain benefits administered by the Secretary of Veterans Affairs that are affected by death, and for other purposes.","Daines, Steve [Sen.-R-MT] (Introduced 12/17/2024)",Republican,12/17/2024,"Senate - Veterans' Affairs","Read twice and referred to the Committee on Veterans' Affairs.",12/17/2024,"Kim, Andy [Sen.-D-NJ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5544",https://www.congress.gov/bill/118th-congress/senate-bill/5544,"118th Congress (2023-2024)","PRC Students Act","Sullivan, Dan [Sen.-R-AK] (Introduced 12/17/2024)",Republican,12/17/2024,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",12/17/2024,"Ricketts, Pete [Sen.-R-NE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5542",https://www.congress.gov/bill/118th-congress/senate-bill/5542,"118th Congress (2023-2024)","A bill to prohibit the use of Federal funds to remove the border wall or to dispose of materials previously acquired by the Federal Government to construct the border wall.","Hagerty, Bill [Sen.-R-TN] (Introduced 12/16/2024)",Republican,12/16/2024,"Senate - Homeland Security and Governmental Affairs","Read twice and referred to the Committee on Homeland Security and Governmental Affairs.",12/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5541",https://www.congress.gov/bill/118th-congress/senate-bill/5541,"118th Congress (2023-2024)","A bill to amend the Public Health Service Act to reauthorize the Stop, Observe, Ask, and Respond to Health and Wellness Training Program.","Schmitt, Eric [Sen.-R-MO] (Introduced 12/16/2024)",Republican,12/16/2024,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",12/16/2024,"Klobuchar, Amy [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5540",https://www.congress.gov/bill/118th-congress/senate-bill/5540,"118th Congress (2023-2024)","Choices for Increased Mobility Act of 2024","Blackburn, Marsha [Sen.-R-TN] (Introduced 12/16/2024)",Republican,12/16/2024,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/16/2024,"Duckworth, Tammy [Sen.-D-IL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5538",https://www.congress.gov/bill/118th-congress/senate-bill/5538,"118th Congress (2023-2024)","Improving Travel for Families Act","Blackburn, Marsha [Sen.-R-TN] (Introduced 12/16/2024)",Republican,12/16/2024,"Senate - Homeland Security and Governmental Affairs","Read twice and referred to the Committee on Homeland Security and Governmental Affairs.",12/16/2024,"Hassan, Margaret Wood [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5537",https://www.congress.gov/bill/118th-congress/senate-bill/5537,"118th Congress (2023-2024)","Leadership in CET Act","Blackburn, Marsha [Sen.-R-TN] (Introduced 12/16/2024)",Republican,12/16/2024,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",12/16/2024,"Welch, Peter [Sen.-D-VT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5536",https://www.congress.gov/bill/118th-congress/senate-bill/5536,"118th Congress (2023-2024)","End Assistance to China Act","Sullivan, Dan [Sen.-R-AK] (Introduced 12/16/2024)",Republican,12/16/2024,"Senate - Foreign Relations","Read twice and referred to the Committee on Foreign Relations.",12/16/2024,"Ricketts, Pete [Sen.-R-NE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5535",https://www.congress.gov/bill/118th-congress/senate-bill/5535,"118th Congress (2023-2024)","No Surprises Act Enforcement Act","Marshall, Roger [Sen.-R-KS] (Introduced 12/16/2024)",Republican,12/16/2024,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",12/16/2024,"Bennet, Michael F. [Sen.-D-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.9572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/17/2024 Referred to the Subcommittee on Health.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5533",https://www.congress.gov/bill/118th-congress/senate-bill/5533,"118th Congress (2023-2024)","A bill to repeal the Impoundment Control Act of 1974.","Lee, Mike [Sen.-R-UT] (Introduced 12/16/2024)",Republican,12/16/2024,"Senate - Budget","Read twice and referred to the Committee on the Budget.",12/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5529",https://www.congress.gov/bill/118th-congress/senate-bill/5529,"118th Congress (2023-2024)","A bill to authorize the conveyance by the Secretary of the Army of certain property located at Fort Bliss, Texas, and for other purposes.","Cruz, Ted [Sen.-R-TX] (Introduced 12/12/2024)",Republican,12/12/2024,"Senate - Armed Services","Read twice and referred to the Committee on Armed Services.",12/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5528",https://www.congress.gov/bill/118th-congress/senate-bill/5528,"118th Congress (2023-2024)","A bill to require an updated assessment of the public schools on installations of the Department of Defense, and for other purposes.","Cruz, Ted [Sen.-R-TX] (Introduced 12/12/2024)",Republican,12/12/2024,"Senate - Armed Services","Read twice and referred to the Committee on Armed Services.",12/12/2024,"Cornyn, John [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5518",https://www.congress.gov/bill/118th-congress/senate-bill/5518,"118th Congress (2023-2024)","Flexible Compliance for Emergencies and Natural Disasters Act","Budd, Ted [Sen.-R-NC] (Introduced 12/12/2024)",Republican,12/12/2024,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",12/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5517",https://www.congress.gov/bill/118th-congress/senate-bill/5517,"118th Congress (2023-2024)","United States-Abraham Accords Cooperation and Security Act of 2024","Budd, Ted [Sen.-R-NC] (Introduced 12/12/2024)",Republican,12/12/2024,"Senate - Foreign Relations","Read twice and referred to the Committee on Foreign Relations.",12/12/2024,"Hassan, Margaret Wood [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5515",https://www.congress.gov/bill/118th-congress/senate-bill/5515,"118th Congress (2023-2024)","Disaster Housing Reform for American Families Act","Cassidy, Bill [Sen.-R-LA] (Introduced 12/12/2024)",Republican,12/12/2024,"Senate - Homeland Security and Governmental Affairs","Read twice and referred to the Committee on Homeland Security and Governmental Affairs.",12/12/2024,"Padilla, Alex [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5514",https://www.congress.gov/bill/118th-congress/senate-bill/5514,"118th Congress (2023-2024)","Disaster Assistance Fairness Act","Budd, Ted [Sen.-R-NC] (Introduced 12/12/2024)",Republican,12/12/2024,"Senate - Homeland Security and Governmental Affairs","Read twice and referred to the Committee on Homeland Security and Governmental Affairs.",12/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
