"Downloaded on",03/05/2025,"13:27:53 EST"
"Search URL",https://www.congress.gov/search?pageSort=documentNumber%3Adesc&q=%7B%22type%22%3A%22bills%22%2C%22party%22%3A%22Democratic%22%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%2297%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 1401",https://www.congress.gov/bill/97th-congress/senate-bill/1401,"97th Congress (1981-1982)","A bill for the relief of Emmanuel F. Hipolito, M.D.","Randolph, Jennings [Sen.-D-WV] (Introduced 06/19/1981)",Democratic,06/19/1981,"Senate - Judiciary","Committee on Judiciary. Agreed to indefinitely postpone.",09/28/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Declares a named individual to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 1400",https://www.congress.gov/bill/97th-congress/senate-bill/1400,"97th Congress (1981-1982)","A bill for the relief of Ms. Marlene Sabina Lajola.","Inouye, Daniel K. [Sen.-D-HI] (Introduced 06/19/1981)",Democratic,06/19/1981,"Senate - Judiciary","Referred to Subcommittee on Immigration and Refugee Policy.",06/22/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Declares a named individual to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 1399",https://www.congress.gov/bill/97th-congress/senate-bill/1399,"97th Congress (1981-1982)","A bill to encourage equitable contracts between sales representatives and their principals.","Dodd, Christopher J. [Sen.-D-CT] (Introduced 06/19/1981)",Democratic,06/19/1981,"Senate - Commerce, Science, and Transportation","Read second time and referred to Senate Committee on Commerce.",06/19/1981,"Grassley, Chuck [Sen.-R-IA]","Quayle, Dan [Sen.-R-IN]","Dole, Robert J. [Sen.-R-KS]","Melcher, John [Sen.-D-MT]","Heinz, John [Sen.-R-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Business and commerce",Commerce,Contracts,"Courts and Civil Procedure","Employee rights","Labor and Employment","Sales personnel","Civil actions and liability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3496,,,,,CRS,Senate,,"12/09/1982 Subcommittee Consideration and Mark-up Session Held.",,,,"<p>Sales Representatives Protection Act - <b>Title I: Contracts Between Sales Representatives and Principals</b> - Requires a principal who enters into a contract with a sales representative for the solicitation of orders for merchandise of the principal to furnish specified information to the representative, including monthly commission statements. <p>Enumerates items to be included in any written contract between a principal and sales representative in order to conform with this Act. <p><b>Title II: Indemnification</b> - Exempts principals who have entered into a written contract in conformity with title I from the indemnification requirements of this title. <p>Requires any principal to indemnify a sales representative in accordance with this title if such principal: (1) without good cause terminates a representative's assignment or reduces the geographical territory assigned to a representative; (2) reduces the rate of commission paid to a representative; or (3) reduces the number of accounts assigned within a geographical territory. <p>Sets forth formulae for the indemnification of such representatives. <p><b>Title III: Miscellaneous</b> - Permits actions to be brought in Federal district court to enforce the rights or liabilities of this Act.",,,,,,
"S. 1397",https://www.congress.gov/bill/97th-congress/senate-bill/1397,"97th Congress (1981-1982)","A bill conferring jurisdiction on the Court of Claims to hear, determine, and render judgment on a claim of the Seminole Nation of Oklahoma.","Boren, David L. [Sen.-D-OK] (Introduced 06/19/1981)",Democratic,06/19/1981,"Senate - Judiciary","Referred to Subcommittee on Agency Administration.",06/22/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Courts and Civil Procedure","Courts of special jurisdiction","Government liability","Indian claims","Native Americans",Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3935,,,,,CRS,Senate,,"07/17/1981 Executive Comment Requested from Interior, Justice.",,,,"<p>Confers jurisdiction on the Court of Claims to hear, determine, and render judgment on a claim of the Seminole Nation of Oklahoma.",,,,,,
"S. 1394",https://www.congress.gov/bill/97th-congress/senate-bill/1394,"97th Congress (1981-1982)","A bill to improve the ability of the Secret Service to protect the President and other designated protectees.","DeConcini, Dennis [Sen.-D-AZ] (Introduced 06/18/1981)",Democratic,06/18/1981,"Senate - Judiciary","Committee on Judiciary. Referred jointly to the Subcommittee on the Constitution; provided that if the Subcommittee on Security and Terrorism reports the bill favorably, then thirty days thereafter, the Subcommittee on the Constitution shall be discharged from further consideration thereof.",07/31/1981,"Abdnor, James [Sen.-R-SD]","Laxalt, Paul D. [Sen.-R-NV]","Nickles, Don [Sen.-R-OK]","Schmitt, Harrison H. [Sen.-R-NM]","Jackson, Henry M. [Sen.-D-WA]","East, John P. [Sen.-R-NC]","Kennedy, Edward M. [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,"Administrative procedure","Crime and Law Enforcement","Crime prevention","Criminal investigation","Criminal law","Department of the Treasury",Forgery,Fraud,"Freedom of information","Government Operations and Politics","Government records, documents, and information",Homicide,"Presidential protection","Presidents and Vice Presidents","Secret service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Amends the Freedom of Information Act to exempt from disclosure records maintained by the Secret Service in connection with its protective functions. <p>Amends the Federal criminal code to extend the scope of the current provision authorizing a physical zone of protection for the President to all Secret Service protectees. <p>Establishes a new offense of threatening to kill, kidnap, or inflict bodily harm upon a former President, major presidential or vice-presidential candidate or spouse of a candidate, or member of the immediate family of the President or Vice President. <p>Limits the Secret Service protection of the spouse and minor children of a former President to a period of six months.  Authorizes the Secretary of the Treasury to extend such protection if necessary. <p>Extends the authority of the Secret Service to investigate fraud against the Government and offenses involving the electronic transfer of data for U.S. or foreign government funds. <p>Authorizes the reimbursement of Secret Service agents for subsistence expenses while on protective missions on a 24-hour basis in a nontravel status. <p>Establishes a new offense of forging endorsements on Treasury checks or United States bonds or securities.",,,,,,
"S. 1393",https://www.congress.gov/bill/97th-congress/senate-bill/1393,"97th Congress (1981-1982)","A bill to amend the Internal Revenue Code of 1954 to increase the charitable contribution deduction allowable for property constructed by the taxpayer and contributed for use for educational purposes or for research or experimentation.","Mitchell, George J. [Sen.-D-ME] (Introduced 06/18/1981)",Democratic,06/18/1981,"Senate - Finance","Committee on Finance requested executive comment from OMB; Treasury Department.",06/25/1981,"Durenberger, Dave [Sen.-R-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Charitable contributions",Corporations,"Corporations and Stocks",Education,"Income tax","Public Welfare and Charities",Research,"Research and development","Science and technology","Tax deductions",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.1299,H.R.2472,,,,CRS,Senate,,"08/04/1981 See H.R.4242.",,,,"<p>Research and Experimentation Equipment Donations Tax Act of 1981 - Amends the Internal Revenue Code to provide a deduction for a qualified research or education contribution by a corporation to a governmental unit or tax-exempt organization if: (1) the property donated is constructed by the taxpayer; (2) the contribution is made not later than two years after construction is completed; (3) the property is not exchanged for value; (4) the property is to be used by the donee solely for research or educational purposes; and (5) the taxpayer receives a written statement from the donee. <p>Provides that the amount of the charitable contribution shall not be reduced for such qualified research or education contributions.  Provides special rules for inventory placed in service by the taxpayer.",,,,,,
"S. 1392",https://www.congress.gov/bill/97th-congress/senate-bill/1392,"97th Congress (1981-1982)","A bill to repeal the tariff on casein blanks.","Mitchell, George J. [Sen.-D-ME] (Introduced 06/18/1981)",Democratic,06/18/1981,"Senate - Finance","Committee on Finance. Provisions of measure incorporated into measure H.R. 4566 ordered to be reported.",09/15/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and Investments","Foreign Trade and International Finance",Imports,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4566,,,,,CRS,,,"01/12/1983 Became Public Law No: 97-446.",,,,"<p>Amends the Tariff Schedules of the United States to repeal the tariff on button blanks.",,,,,,
"S. 1391",https://www.congress.gov/bill/97th-congress/senate-bill/1391,"97th Congress (1981-1982)","A bill for the relief of Dr. Oscar Raul Espinoza Madariaga, his wife, Maria Inez, his son Felipe Andres and daughter Claudia Paola.","Bentsen, Lloyd M. [Sen.-D-TX] (Introduced 06/18/1981)",Democratic,06/18/1981,"Senate - Judiciary","Referred to Subcommittee on Immigration and Refugee Policy.",06/20/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Declares four named individuals to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 1390",https://www.congress.gov/bill/97th-congress/senate-bill/1390,"97th Congress (1981-1982)","A bill for the relief of Kenneth W. Hunke and Virginia F. Hunke.","Proxmire, William [Sen.-D-WI] (Introduced 06/18/1981)",Democratic,06/18/1981,"Senate - Judiciary","Referred to Subcommittee on Agency Administration.",06/22/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Claims,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Directs the Secretary of the Treasury to pay a specified sum to two named individuals in full satisfaction of a claim against the United States arising out of damages suffered as the result of an inaccurate survey of land conducted by the United States Forest Service.",,,,,,
"S. 1384",https://www.congress.gov/bill/97th-congress/senate-bill/1384,"97th Congress (1981-1982)","A bill to amend section 205 of the Federal Credit Union Act.","Riegle, Donald W., Jr. [Sen.-D-MI] (Introduced 06/17/1981)",Democratic,06/17/1981,"Senate - Banking, Housing, and Urban Affairs","Committee on Banking received executive comment from Comptroller of the Currency. Favorable.",08/18/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Corporate mergers","Credit unions","Finance and Financial Sector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Amends the Federal Credit Union Act to permit the National Credit Union Administration Board to authorize a merger or consolidation of an insured credit union which is insolvent or is in danger of insolvency with any other insured credit union.  Permits the Board to authorize a purchase and assumption by an insured credit union of all or any part of the assets and liabilities of any other insured credit union which is insolvent or in danger of insolvency if the Board is satisfied that any emergency requiring expeditious action exists with respect to such credit union and that other alternatives are not reasonably available.",,,,,,
"S. 1383",https://www.congress.gov/bill/97th-congress/senate-bill/1383,"97th Congress (1981-1982)","A bill to encourage the orderly development of oil shale resources on Federal lands.","Hart, Gary W. [Sen.-D-CO] (Introduced 06/17/1981)",Democratic,06/17/1981,"Senate - Energy and Natural Resources","Read second time and referred to Senate Committee on Energy and Natural Resources.",06/17/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Coal,Energy,"Federal-state relations","Mines and mineral resources","Mining leases","Oil and gas leases","Oil shales","Petroleum and petroleum products","Public Lands and Real Property","Public Lands and Natural Resources","Shale oils",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Oil Shale Leasing Act of 1981 - Amends the Mineral Leasing Act to revise the authority of the Secretary of the Interior to lease lands containing oil shale deposits. Permits such leases to exceed 5,120 acres if necessary to permit long-term commercial operations. <p>Permits a person, association, or corporation to be granted additional leases with respect to oil shale (presently only one lease per person, association, or corporation may be granted) if such additional leases are of small acreages of public lands where the oil shale will be extracted and reduced in conjunction with the extraction and reduction of oil shale from adjacent non-federal lands and if such additional leases do not exceed 2,560 acres. Authorizes the Secretary to issue a lease for the extraction and reduction of oil shale if, in addition to other requirements:  (1) the Secretary determines that the lease is in the public interest; (2) the Secretary has consulted with the appropriate State officials in any State likely to be significantly affected by the lease; and (3) the Governor of the State in which the lands are located has recommended that the lease not be issued, unless the Secretary finds that despite the Governor's recommendation, there is an overriding national interest. <p>Directs the Secretary to award leases for the extraction and reduction of oil shale by competitive bidding. <p>Requires any lease for the extraction and reduction of oil shale to include conditions requiring:  (1) diligent development and continued operation of activities (including the production of oil from shale within ten years); (2) royalty payments of at least eight percent of the value of the oil shale; (3) prepayment of royalties and rental under certain conditions; (4) performance by the lessee of measures to prevent and reduce adverse social, economic, and environmental effects likely to occur; and (5) the performance by the lessee of all operations in accordance with nondiscriminatory laws. <p>Permits the holder of a lease for the extraction and reduction of oil shale to extract and reduce oil shale in conjunction with the extraction of other mineral deposits (excluding coal, except in certain instances). <p>Authorizes the Secretary to suspend the diligence requirements or extend the terms of any lease for exploration for or production or extraction of oil, gas, or minerals other than oil shale, for any period in which operations are impeded or prevented by operations for the extraction and reduction of oil shale. <p>Authorizes the Secretary to issue to the holder of a lease for the extraction and reduction of oil shale an additional (ancillary) lease of not more than 6,400 acres of public lands to be used for any purpose associated with the operation of the oil shale lease, except that the lessee may not mine or extract oil shale or other mineral deposits from lands subject to the ancillary lease. <p>Authorizes the Secretary to issue an ancillary lease if, in addition to other requirements:  (1) the Secretary determines that the lease is in the public interest; (2) the Secretary has consulted with the appropriate State officials in any State likely to be significantly affected by the lease; and (3) the Governor of the State in which the lands are located has recommended that the lease not be issued, unless the Secretary finds that despite the Governor's recommendation, there is an overriding national interest. <p>Requires an ancillary lease to provide for:  (1) the payment of an annual rental; (2) the performance by the lessee of measures to prevent and reduce adverse social, economic, or environmental effects of operations under the lease; (3) the performance by the lessee of all operations in accordance with nondiscriminatory laws; (4) a prohibition on the transfer of the ancillary lease except in conjunction with the transfer of the associated oil shale lease; and (5) the continued availability of the lands subject to the lease to leasing under other provisions of the Act where such leasing is not incompatible with the purpose for which the ancillary lease was issued. <p>Sets forth provisions concerning consultation with States.  Authorizes an affected State to make recommendations to the Secretary regarding a lease. Exempts the Secretary's decision to accept or reject the recommendations from judicial review, except in certain instances. <p>Directs a State to use moneys received under this Act for the prevention and reduction of the adverse social and economic impacts of extraction and reduction operations. <p>Directs the Secretary, for each region in which there is a likelihood that public lands will be leased for the extraction and reduction of oil shale, to create a regional oil shale leasing team to advise the Secretary concerning extraction and reduction activities. <p>Directs the Secretary to conduct a study and report to Congress concerning extraction and reduction activities, including an analysis of alternative levels of long-term development of oil shale deposits on public lands. Prohibits, subject to stated exceptions, the Secretary from issuing the additional leases as authorized under this Act for the extraction and removal of oil shale until the Secretary has filed such report with Congress and has prepared a regional management plan for the balanced management of the Federal lands in the region in which the lands to be leased are located. <p>Transfers to the Secretary of the Interior administrative and jurisdictional functions vested in the Secretary of Energy by the Department of Energy Organization Act concerning Oil Shale Reserves Numbered One, Two, and Three.",,,,,,
