"Downloaded on",03/05/2025,"13:57:07 EST"
"Search URL",https://www.congress.gov/advanced-search?raw=%5B%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22congress%22%2C%22operator%22%3A%22multi%22%2C%22value%22%3A%5B%22118%22%2C%22117%22%2C%22116%22%2C%22112%22%2C%22111%22%5D%7D%7D%5D%7D%2C%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22chamber%22%2C%22operator%22%3A%22is%22%2C%22value%22%3A%22Senate%22%7D%7D%5D%7D%2C%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22committee%22%2C%22operator%22%3A%22containsAll%22%2C%22value%22%3A%22Finance%22%7D%7D%5D%7D%2C%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22sponsor-party%22%2C%22operator%22%3A%22is%22%2C%22value%22%3A%22Democratic%22%7D%7D%5D%7D%5D&q=%7B%22type%22%3A%22bills%22%2C%22congress%22%3A%22112%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 2767",https://www.congress.gov/bill/112th-congress/senate-bill/2767,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on dimethyl carbonate polymer with 1,6-hexanediol and 1,5-pentanediol.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on dimethyl carbonate polymer with 1,6-hexanediol and 1,5-pentanediol.",,,,,,
"S. 2766",https://www.congress.gov/bill/112th-congress/senate-bill/2766,"112th Congress (2011-2012)","A bill to extend the temporary suspension of duty on Lambda-Cy.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on Lambda-Cy.",,,,,,
"S. 2765",https://www.congress.gov/bill/112th-congress/senate-bill/2765,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on copoly(dimethyl carbonate/1,6-hexanediol).","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on copoly(dimethyl carbonate/1,6-hexanediol).",,,,,,
"S. 2764",https://www.congress.gov/bill/112th-congress/senate-bill/2764,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on Vat Violet 10.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on Vat Violet 10.",,,,,,
"S. 2763",https://www.congress.gov/bill/112th-congress/senate-bill/2763,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on dimethyl carbonate polymer with 1,6-hexanediol and 2-oxepanone.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on dimethyl carbonate polymer with 1,6-hexanediol and 2-oxepanone.",,,,,,
"S. 2762",https://www.congress.gov/bill/112th-congress/senate-bill/2762,"112th Congress (2011-2012)","A bill to extend and modify the temporary suspension of duty on mixtures of tris(4-isocyanatophenyl)thiophosphate.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Harmonized Tariff Schedule of the United States to: (1) modify the article description of mixtures of tris(4-isocyanatophenyl)thiophosphate, and (2) extend temporarily the suspension of duty on such article.</p>",,,,,,
"S. 2761",https://www.congress.gov/bill/112th-congress/senate-bill/2761,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on 2-ethylhexylamine.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on 2-ethylhexylamine.",,,,,,
"S. 2760",https://www.congress.gov/bill/112th-congress/senate-bill/2760,"112th Congress (2011-2012)","A bill to extend and modify the temporary suspension of duty on poly(toluene diisocyanate).","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Harmonized Tariff Schedule of the United States to: (1) modify the article description of poly(toluene diisocyanate), and (2) extend temporarily the suspension of duty on such article.</p>",,,,,,
"S. 2759",https://www.congress.gov/bill/112th-congress/senate-bill/2759,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on 3,5,5-trimethylhexylamine.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on 3,5,5-trimethylhexylamine.",,,,,,
"S. 2758",https://www.congress.gov/bill/112th-congress/senate-bill/2758,"112th Congress (2011-2012)","A bill to extend the temporary reduction of duty on Aspirin.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Harmonized Tariff Schedule of the United States to extend temporarily the reduction of duty on Aspirin. </p>",,,,,,
"S. 2757",https://www.congress.gov/bill/112th-congress/senate-bill/2757,"112th Congress (2011-2012)","A bill to extend temporary suspension of duty on pyromellitic dianhydride.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Harmonized Tariff Schedule of the United States to extend temporarily the suspension of duty on pyromellitic dianhydride. </p>",,,,,,
"S. 2756",https://www.congress.gov/bill/112th-congress/senate-bill/2756,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on nitroaniline.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on nitroaniline.",,,,,,
"S. 2755",https://www.congress.gov/bill/112th-congress/senate-bill/2755,"112th Congress (2011-2012)","A bill to extend the temporary suspension of duty on 3,3',4,4'-biphenyltetracarboxylic dianhydride.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on 3,3',4,4'-biphenyltetracarboxylic dianhydride.",,,,,,
"S. 2754",https://www.congress.gov/bill/112th-congress/senate-bill/2754,"112th Congress (2011-2012)","A bill to extend the temporary suspension of duty on 4,4'-oxydianiline.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on 4,4'-oxydianiline.",,,,,,
"S. 2753",https://www.congress.gov/bill/112th-congress/senate-bill/2753,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on potassium 1,3-dioxo-1H,3H-naphthol[1,8-cd]pyran-6-sulfonate.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on potassium 1,3-dioxo-1H,3H-naphthol[1,8-cd]pyran-6-sulfonate.",,,,,,
"S. 2752",https://www.congress.gov/bill/112th-congress/senate-bill/2752,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on picoxystrobin.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on picoxystrobin.",,,,,,
"S. 2751",https://www.congress.gov/bill/112th-congress/senate-bill/2751,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on n-ethyl-n-benzyl aniline.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on n-ethyl-n-benzyl aniline.",,,,,,
"S. 2750",https://www.congress.gov/bill/112th-congress/senate-bill/2750,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on mixtures of aminocyclopyrachlor and inert ingredients.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on mixtures of aminocyclopyrachlor and inert ingredients.",,,,,,
"S. 2749",https://www.congress.gov/bill/112th-congress/senate-bill/2749,"112th Congress (2011-2012)","A bill to extend the temporary suspension of duty on mixtures or coprecitates of yttrium oxide and europium oxide.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on mixtures or coprecitates of yttrium oxide and europium oxide.",,,,,,
"S. 2748",https://www.congress.gov/bill/112th-congress/senate-bill/2748,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on benzamine, dodecyl-, branched.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on benzamine, dodecyl-, branched.",,,,,,
"S. 2747",https://www.congress.gov/bill/112th-congress/senate-bill/2747,"112th Congress (2011-2012)","A bill to extend the temporary suspension of duty on mixtures or coprecipitates of lanthanum phosphate, cerium-doped lanthanum phosphate, cerium phosphate, and terbium phosphate.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on mixtures or coprecipitates of lanthanum phosphate, cerium-doped lanthanum phosphate, cerium phosphate, and terbium phosphate.",,,,,,
"S. 2746",https://www.congress.gov/bill/112th-congress/senate-bill/2746,"112th Congress (2011-2012)","A bill to extend and modify the temporary suspension of duty on yttrium oxide.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Harmonized Tariff Schedule of the United States to: (1) modify the article description of yttrium oxide, and (2) extend temporarily the suspension of duty on such article. </p>",,,,,,
"S. 2745",https://www.congress.gov/bill/112th-congress/senate-bill/2745,"112th Congress (2011-2012)","A bill to extend the temporary suspension of duty on mixed xylidines.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on mixed xylidines.",,,,,,
"S. 2744",https://www.congress.gov/bill/112th-congress/senate-bill/2744,"112th Congress (2011-2012)","A bill to renew the temporary suspension of duty on europium oxide.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Harmonized Tariff Schedule of the United States to extend temporarily the suspension of duty on europium oxide. </p>",,,,,,
"S. 2743",https://www.congress.gov/bill/112th-congress/senate-bill/2743,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on knitted or crocheted fabrics of a width exceeding 30 cm, containing by weight 5 percent or more of elastomeric yarn but not containing rubber thread.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on knitted or crocheted fabrics of a width exceeding 30 cm, containing by weight 5 percent or more of elastomeric yarn but not containing rubber thread.",,,,,,
"S. 2742",https://www.congress.gov/bill/112th-congress/senate-bill/2742,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on lanthanum oxide.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on lanthanum oxide.",,,,,,
"S. 2741",https://www.congress.gov/bill/112th-congress/senate-bill/2741,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on gadolinium oxide.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on gadolinium oxide.",,,,,,
"S. 2740",https://www.congress.gov/bill/112th-congress/senate-bill/2740,"112th Congress (2011-2012)","A bill to extend the temporary suspension of duty on mixtures of alkene polylmers with maleic anhydride, 2-(1-piperazinyl) ethylimides, diisononyl phthalate and bis(1-methylethyl)-naphthalene.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on mixtures of alkene polylmers with maleic anhydride, 2-(1-piperazinyl) ethylimides, diisononyl phthalate and bis(1-methylethyl)-naphthalene.",,,,,,
