"Downloaded on",03/04/2025,"18:22:53 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A%2294%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 1722",https://www.congress.gov/bill/94th-congress/senate-bill/1722,"94th Congress (1975-1976)","A bill to amend title XVIII of the Social Security Act to make technical changes in the method of determining the supplementary medical insurance premium.","Curtis, Carl T. [Sen.-R-NE] (Introduced 05/13/1975)",Republican,05/13/1975,"Senate - Finance","Referred to Senate Committee on Finance.",05/13/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Health,Medicare,"Social Welfare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Revises the timing for making determinations of, and the amounts of, medical insurance premiums for enrollees in the supplementary medical insurance program under title XVIII (Medicare) of the Social Security Act.",,,,,,
"S. 1721",https://www.congress.gov/bill/94th-congress/senate-bill/1721,"94th Congress (1975-1976)","A bill to amend the Social Security Act to improve and control the cost of the maternal and child health and crippled children's services program, and the program of grants to States for medical assistance programs.","Curtis, Carl T. [Sen.-R-NE] (Introduced 05/13/1975)",Republican,05/13/1975,"Senate - Finance","Referred to Senate Committee on Finance.",05/13/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Maternal and infant welfare",Medicaid,Medicare,"Social Welfare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4821,,,,CRS,,"03/12/1975 Referred to House Committee on Interstate and Foreign Commerce.",,,,"<p>Maternal and Child Health and Crippled Children's Services and Medicaid Cost Control Amendments - Provides that after June 30, 1975, the Federal share of payments to States for maternal and child health services under Title V (Grants to States for Maternal and Child Welfare) of the Social Security Act shall be reduced from 50 to 40 percent of the cost of the service plan. <p>States that after February, 1975, Federal matching payments to States under Title XIX (Medicaid) of such Act shall no longer be made for dental services provided to individuals over the age of 21, except for emergency dental services and oral surgical services and treatment related thereto. <p>Stipulates that the Federal share of Medicaid payments shall not be less than 40 percent of total costs.",,,,,,
"S. 1720",https://www.congress.gov/bill/94th-congress/senate-bill/1720,"94th Congress (1975-1976)","A bill to amend the Social Security Act to improve and control the cost of the program of old-age, survivors, and disability insurance, the program of grants to States for aid to families with dependent children, and the program of health insurance for the aged and disabled.","Curtis, Carl T. [Sen.-R-NE] (Introduced 05/13/1975)",Republican,05/13/1975,"Senate - Finance","Referred to Senate Committee on Finance.",05/13/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Aid to dependent children",Health,Medicaid,Medicare,"Old age, survivors and disability insurance","Social Welfare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4820,,,,CRS,,"03/12/1975 Referred to House Committee on Ways and Means.",,,,"<p>Social Security Cost Control Act - Eliminates specified optional payment provisions under title II (Old-Age, Survivors, and Disability Insurance) of the Social Security Act.  Revises the qualifications for retirement under such program. States that the first $60 of earned income per month plus an amount equal to dependent child care expenses shall be disregarded in determining need under the aid to families with dependent children program of the Social Security Act. <p>Modifies the rate of Federal financial participation state programs of aid to needy families with children and aged, blind, or disabled individuals. <p>Provides that the amount payable for inpatient hospital services under title XVIII (Medicare) during any spell of illness shall be reduced by a deduction equal to the inpatient hospital deduction, or, if less, the charges for such services imposed with respect to such indivdiual for such services, and by a coinsurance amount equal to one-tenth of the charges imposed.  Sets forth provisions regulating the amount of Medicare supplementary medical insurance coinsurance available under specified instances. <p>Provides for the automatic adjustment of the medicare supplementary medical insurance deductible, according to whether or not the primary insurance amount exceeds or is less than $354.50. <p>Authorizes the establishment of limits on the rate of increase of costs recognized as reasonable under the medicare program. <p>Reduces from 75 to 65 percent the share of Federal financial participation in State services and training expenditures under the Social Security Act.",,,,,,
"S. 1719",https://www.congress.gov/bill/94th-congress/senate-bill/1719,"94th Congress (1975-1976)","A bill to amend title IV of the Social Security Act to improve and make more realistic various provisions relating to eligibility for aid to families with dependent children and the administration of the aid to families with dependent children program.","Curtis, Carl T. [Sen.-R-NE] (Introduced 05/13/1975)",Republican,05/13/1975,"Senate - Finance","Referred to Senate Committee on Finance.",05/13/1975,"Bartlett, Dewey F. [Sen.-R-OK]","Brock, Bill [Sen.-R-TN]","Buckley, James L. [Sen.-R-NY]","Byrd, Harry F.,  Jr. [Sen.-I-VA]","Dole, Robert J. [Sen.-R-KS]","Fannin, Paul J. [Sen.-R-AZ]","Goldwater, Barry [Sen.-R-AZ]","Hansen, Clifford P. [Sen.-R-WY]","Helms, Jesse [Sen.-R-NC]","Hruska, Roman L. [Sen.-R-NE]","Laxalt, Paul D. [Sen.-R-NV]","Long, Russell B. [Sen.-D-LA]","McClure, James A. [Sen.-R-ID]","Nunn, Sam [Sen.-D-GA]","Roth Jr., William V. [Sen.-R-DE]","Scott, William Lloyd [Sen.-R-VA]","Talmadge, Herman E. [Sen.-D-GA]","Thurmond, Strom [Sen.-R-SC]","Tower, John G. [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,"Aid to dependent children",Aliens,"Labor and Employment","Social Welfare",Unemployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5006,,,,CRS,,"03/17/1975 Referred to House Committee on Ways and Means.",,,,"<p>National Welfare Reform Act - Stipulates that no family shall be eligible for the aid to families with dependent children program (AFDC) under the Social Security Act if its total income, without regard to exclusions, exceeds 150 percent of the family's needs. <p>Provides that the Secretary of Health, Education, and Welfare shall provide the full cost of AFDC services to needy families who are not U.S. citizens and are lawfully present in the United States. <p>States that unemployed individuals shall be ineligible for AFDC services for specified periods of time such individual is determined to have, without good cause, refused an offering of bona fide employment or refused to participate under a work incentive program.  Provides procedures for the determination of good cause.  States that no sanctions will be applied for a ten day period after failure without good cause has been established if the individual participates in counseling services. <p>Sets forth procedures governing adjustment of AFDC grant overpayments. <p>Prohibits AFDC grant payments where the caretaker relative is unemployed due to participation in a strike or because he has voluntarily terminated his employment. <p>Defines ""income"" for purposes of this Act.  Authorizes the Secretary to pay directly to any State up to 75 percent of the costs of investigating and prosecuting complaints of fraud under the AFDC program. <p>Requires that recipients of aid be issued a detailed identification card specifying the programs for which the recipient is eligible. <p>Provides that any person who resides in the same household as an eligible family, but is not himself eligible for aid, shall be required to make a contribution to the State in an amount equal to the amount of the standard payment for single person household under the State's plan.",,,,,,
"S. 1718",https://www.congress.gov/bill/94th-congress/senate-bill/1718,"94th Congress (1975-1976)","A bill to amend chapter 61 of title 18, United States Code, relating to lotteries.","Dole, Robert J. [Sen.-R-KS] (Introduced 05/12/1975)",Republican,05/12/1975,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",05/12/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Bingo,Gambling,Lotteries,States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Legalizes the advertisement, listing of prizes and other information concerning bingo games when such games are licensed by the laws of a State and the information is contained in a newspaper of general circulation published in that State.  Exempts such actions from penalties imposed on the use of the postal service for gambling operations.  (Adds 18 U.S.C. 1308; Amends 39 U.S.C. 3005(d)(1))",,,,,,
"S. 1715",https://www.congress.gov/bill/94th-congress/senate-bill/1715,"94th Congress (1975-1976)","A bill to amend the Public Health Service Act to establish a national program with respect to genetic diseases.","Javits, Jacob K. [Sen.-R-NY] (Introduced 05/12/1975)",Republican,05/12/1975,"Senate - Labor and Public Welfare","Referred to Senate Committee on Labor and Public Welfare.",05/12/1975,"Humphrey, Hubert H. [Sen.-D-MN]","Mondale, Walter F. [Sen.-D-MN]","Williams, Harrison A., Jr. [Sen.-D-NJ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Advisory bodies",Diseases,"Federal advisory bodies",Genetics,Health,"Medical care, personnel, and facilities","Public health",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>National Genetic Diseases Act - Declares that it is the purpose of this Act to establish a national program to provide for basic and applied research, research training, testing, counseling, information, and education programs with respect to genetic diseases, including, but not limited to, sickle cell anemia, Cooley's anemia, Tay-Sachs disease, cystic fibrosis, dysautonomia, hemophilia, retinitis pigmentosa, Huntington's chorea, and muscular dystrophy. <p>Authorizes the Secretary of Health, Education, and Welfare to make grants to public and private nonprofit entities for the establishment and operation of:  (1) genetic counseling and testing programs; (2) a genetic disease information and education program; and (3) a genetic disease research, development and diagnosis and treatment demonstration program.  Authorizes appropriations in specified amounts for fiscal years 1976, 1977, and 1978 for such programs. <p>Sets forth grant application requirements and procedures. <p>Establishes a National Advisory Commission on Ethical, Legal, and Social Aspects of Genetic Diseases. Makes it the duty of the Commission to undertake a comprehensive investigation and study of the ethical, social, and legal implications of genetics research.",,,,,,
"S. 1714",https://www.congress.gov/bill/94th-congress/senate-bill/1714,"94th Congress (1975-1976)","A bill to amend the Public Health Service Act to provide for the screening and counseling of Americans with respect to Tay-Sachs disease.","Javits, Jacob K. [Sen.-R-NY] (Introduced 05/12/1975)",Republican,05/12/1975,"Senate - Labor and Public Welfare","Referred to Senate Committee on Labor and Public Welfare.",05/12/1975,"Humphrey, Hubert H. [Sen.-D-MN]","Williams, Harrison A., Jr. [Sen.-D-NJ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Health,"Medical care, personnel, and facilities","Public health","Tay-Sachs disease",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.2569,,,,CRS,,"02/03/1975 Referred to House Committee on Interstate and Foreign Commerce.",,,,"<p>National Tay-Sachs Disease Screening and Counseling Act - Provides that it is the purpose of this Act to establish a national program, under the Public Health Service Act, for voluntary Tay-Sachs disease screening and counseling. <p>Authorizes appropriations of $2,500,000 for fiscal year 1976 for making grants to public and nonprofit entities to establish and operate such screening programs. Sets forth the procedure for applications for and administration of such grants.",,,,,,
"S. 1713",https://www.congress.gov/bill/94th-congress/senate-bill/1713,"94th Congress (1975-1976)","A bill for the relief of Mr. Kaota Maki.","Stevens, Ted [Sen.-R-AK] (Introduced 05/12/1975)",Republican,05/12/1975,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",05/12/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Mr. Kaota Maki.",,,,,,
"S. 1712",https://www.congress.gov/bill/94th-congress/senate-bill/1712,"94th Congress (1975-1976)","A bill to authorize the issuance of gold commemorative coins bearing the seal or symbol of the American Revolution Bicentennial Administration.","Hatfield, Mark O. [Sen.-R-OR] (Introduced 05/12/1975)",Republican,05/12/1975,"Senate - Banking, Housing, and Urban Affairs","Referred to Senate Committee on Banking, Housing and Urban Affairs.",05/12/1975,"Case, Clifford P. [Sen.-R-NJ]","Domenici, Pete V. [Sen.-R-NM]","Garn, E. J. (Jake) [Sen.-R-UT]","McClure, James A. [Sen.-R-ID]","Morgan, Robert B. [Sen.-D-NC]","Packwood, Bob [Sen.-R-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"American Revolution Bicentennial","Coins and coinage",Commemorations,"Finance and Financial Sector",Gold,Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7056,,,,CRS,,"05/19/1975 Referred to House Committee on Banking, Currency and Housing.",,,,"<p>Authorizes the Secretary of the Treasury to issue gold commemorative coins bearing the seal or symbol of the American Revolution Bicentennial Administration.",,,,,,
"S. 1710",https://www.congress.gov/bill/94th-congress/senate-bill/1710,"94th Congress (1975-1976)","A bill to repeal the requirement of section 3306 of title 5, United States Code, relating to apportionment of appointments in the civil service in the District of Columbia among the States.","Beall, J. Glenn, Jr. [Sen.-R-MD] (Introduced 05/12/1975)",Republican,05/12/1975,"Senate - Post Office and Civil Service","Referred to Senate Committee on Post Office and Civil Service.",05/12/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"District of Columbia","Federal employees","Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Eliminates the requirement of apportionment among the States of appointments in the Federal civil service in the District of Columbia.  (Repeals 5 U.S.C. 3306)",,,,,,
"S. 1709",https://www.congress.gov/bill/94th-congress/senate-bill/1709,"94th Congress (1975-1976)","A bill for the relief of Doctor Lawrence Chin Bong Chan.","Baker, Howard H., Jr. [Sen.-R-TN] (Introduced 05/12/1975)",Republican,05/12/1975,"House - Judiciary | Senate - Judiciary","Referred to House Committee on the Judiciary.",09/30/1975,"Bentsen, Lloyd M. [Sen.-D-TX]","Brock, Bill [Sen.-R-TN]","Tower, John G. [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Doctor Lawrence Chin Bong Chan.",,,,,,
"S. 1708",https://www.congress.gov/bill/94th-congress/senate-bill/1708,"94th Congress (1975-1976)","A bill to provide for the promotion of health education and preventive health services, and for other purposes.","Mathias, Charles McC., Jr. [Sen.-R-MD] (Introduced 05/12/1975)",Republican,05/12/1975,"Senate - Labor and Public Welfare","Referred to Senate Committee on Labor and Public Welfare.",05/12/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Department of Health, Education, and Welfare",Health,"Health education","Preventive medicine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Health Education and Preventive Health Services Act - Establishes an Office of Health Education and Preventive Health Services Programs within the Department of Health, Education, and Welfare to be directed by a Deputy Assistant Secretary for Health Education. <p>States that it shall be the function of the Office to coordinate, administer, develop and recommend priorities for, and provide information with respect to, health education and preventive health services programs. <p>Directs the Secretary of Health, Education, and Welfare to develop a program for the extension of health education and preventive health services programs over a three-year period. <p>Authorizes to be appropriated the sums necessary to carry out the provisions of this Act.",,,,,,
"S. 1707",https://www.congress.gov/bill/94th-congress/senate-bill/1707,"94th Congress (1975-1976)","A bill to authorize the Secretary of the Army to preserve, restore, interpret and maintain historical property located on Federal lands under his control and jurisdiction.","Scott, Hugh [Sen.-R-PA] (Introduced 05/12/1975)",Republican,05/12/1975,"Senate - Interior and Insular Affairs","Referred to Senate Committee on Interior and Insular Affairs.",05/12/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Armed Forces and National Security","Historic sites","Public Lands and Natural Resources","Water Resources Development",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>States that buildings and structures of historical significance located upon Federal lands at any water resources development project under the jurisdiction of the Secretary of the Army may be preserved and restored by the Secretary. <p>Authorizes the appropriation of such sums as are necessary to carry out this Act.",,,,,,
